# Реестр установленных фактов книги 1
# Формат: КЛЮЧ <TAB> ВЕРНОЕ <TAB> ЗАПРЕЩЁННЫЕ ВАРИАНТЫ (через |) <TAB> комментарий
# Пустое поле запрещённых = проверяется только наличие.
# Используется scripts/canon_check.py

## --- ТОПОНИМЫ ---
улица_ложки	Малая Гончарная	Малая Канатная|Малой Канатной|Малую Канатную	адрес «Серебряной ложки», гл.1,2,3,5,10
улица_верх	Канатчиков		улица верхнего города, не путать с Гончарной
дом_элизабет	Ткацкая		лавка «Зелья и ингредиенты»
трактир_вельта	Ржавый якорь		гл.2
посад	Сухой Брод		гл.10
город	Минта		
округ	Центральный округ		где стоит штаб, гл.10

## --- ЛЮДИ: возраст и статус ---
возраст_сильвии	двадцать	девятнадцать|двадцать один год	на момент нападения
возраст_агнис	восемнадцать	семнадцать|девятнадцать	младше Сильвии на два года
возраст_кайра	двадцать один		из сводки гл.10
фамилия_кайра	Норд		
фамилия_сильвии	не используется	Дюваль (отменено авг.2026)	решение автора: фамилию убрать из текста целиком; в книге её зовут по имени, служебно — «разведчик»/«второй ранг»
рыцарь	Северин Райд		библия §47; в тексте только «Северин»
кот	Морок		
целительница	Ханна		семь лет в гильдии
распорядитель	Лиран		двадцать три года ведёт назначения
инструктор_зала	Сигурд		рука не работает четырнадцать лет
маг_аттестации	Ирсаль		авалиец
лучница	Рэйна		
оружейник	Мабрик		
кухарка	Марна		
библиотекарь	Ветт		из первых пришедших, в арке 3 не раскрывается
старший_целитель	Дагоберт		
писарь_филиала	Ирвин		двадцать девять лет
инструктор_практики	Рикке		
картограф	Хольм		
возчик	Тобер		девять лет на маршруте
убитый_гл14	Вальд		сторож складского двора, шорник сорок лет, умер от состава при больном сердце
командир_отряда	Акацуки		огонь, беглец из культа Мизу; отряд знает, Сильвия нет
щитовой	Райгар		молчит, крупный, отвечает действием
целительница_поля	Тавия		бывшая из Арклайта, «для чего берёте»
королева_альброндов	Вейнара		рана не лечится: каждое осквернённое святилище отнимает часть
срок_жизни_альброндов	двести лет		стареют в конце, возраст по лицу не читается
проводник_альбронд	Ирне		ведёт отряд, обходит корни, рвёт в трёх шагах от осквернённого
святилищ_всего	девятнадцать		из них одиннадцать осквернены за зиму, было три
прежний_владелец_катаны	убийца		не помнил лиц; вложенное = умение без людей
двор_альброндов	Аннвир		кольцо из шести-семи деревьев, настил кольцом, ворот нет
распорядитель_двора	Тэйвен		говорит за королеву, никогда прежде неё
хозяйка_дома_гостей	Мисла		считает вслух всё, что выдаёт
второй_проводник	Кетт		альбронд не отсюда, знает дорогу и не знает леса
общин_у_вейнары	двадцать одна		на приёме отозвались 12; 3 не доехали, 6 ушли за зиму (4 к культу, 2 «ни за кого»)
сестра_вейнары	держит две общины из шести		имя называют по порядку, на него не поворачиваются
возраст_вейнары	сто девять		альбронд, выглядит как в последние годы
святилище_гл17	Сеу-Раммет		три валуна треугольником, родник; двенадцатое осквернённое
как_оскверняют	место открывает свой		альбронд, связанный с местом; чужой не может. 11 мест = 11 предателей
признак_осквернения	вода теряет свойство		родник идёт, запаха и вкуса нет — как чаша настоя в гл.18
знак_культа_мизу	шнурок с тремя узлами		красное волокно, восточное побережье; носят давшие обет
погиб_гл17	Кетт		копьё под ключицу; Тавия успевала к одному и пошла к Райгару
ранен_гл17	Райгар		ожог плеча и спины, вылечен; неделю ест за троих и не носит чужое
первое_убийство	человек с топором в кустарнике		день 112, поперёк живота; руки сработали сами
святилище_гл18	Дау-Иннет		площадка на склоне, плоский камень, три ручья; ниже — заброшенные террасы сада
дата_передачи_арклайту	двенадцатое серпня		лист пришёл в Арклайт; договаривались верхушки раньше
узнавание_агнис	сняла шлем		без подвесок и опознавательных мелочей; гл.20
сила_агнис	бело-золотые латы Арклайта, огромный щит, рапира с ядами в гарде		сила метки: щит одной рукой; свет отдельно от оружия; лечит за сорок счётов и не устаёт; Сильвия метку не опознаёт
агнис_знает_про_кайра	была на похоронах		гл.21 отменяет заготовку гл.20: знала с апреля
похороны_кайра	пятый день, Ольховое		шестьдесят человек; положен третий от угла с отцовской стороны
вопрос_матери_кайра	звал ли он кого-нибудь		пришла к Агнис на девятый день пешком под дождём
кайр_умер	молча, меньше минуты		Сильвия считала до десяти и сбилась дважды
мать_открыла_портал	без круга и без слов		Северин проверял её дело в трёх реестрах; аттестации не проходила
контракт_снимается	отдел Арклайта, около 15 случаев		Агнис подаёт заявку без согласия Сильвии
первая_ложь_сестре	«это с весны, от Грани»		три правды подряд, четвёртую Агнис достроила сама
как_отменяется	место возвращается, когда умирает открывший		сначала звук, потом кромка, трава месяцами
сестра_королевы	Ирсанна		Тэн-Аруд, два места; найдена по уходу на 41 день зимой; взята на 14-й день
всего_виновных	восемь		шесть общин; Тэн-Аруд и Мау-Ирет держат по два места
проводник_гл20	Хальд		немолодой, сменил Ирне на время
возраст_ирне	восемьдесят четыре		«это середина» — единственный названный возраст альбронда
артефакт_сильвии	браслет Вейнары		тёмное дерево, цельное кольцо, не снимается; иммунитет к параличу + слабое ускорение; гл.23
доля_сильвии_арка4	восемнадцать серебряных		срезано четыре в пользу вдовы Кетта; одиннадцать отдала за майский комплект
срок_операции	шестьдесят четыре дня		сорок по договору плюс двадцать продления
подвески_сестёр	сделала Агнис в шестнадцать		три недели работы, отзываются друг на друга шагов на двадцать
возраст_ирне	восемьдесят четыре		«это середина»
храм_эфир	башня со срезом, столб света		нижняя половина в кладке, верхняя без швов; ориентир вместо сторон света
расстояние_дверь_соулс	день пути		выход в подвале хутора, дальше тракт через пригороды
двери_гильдии	стоят вне городов		в дне пути и в глухих местах; последний перегон всегда пеший
двери_арклайта	в городах и под охраной		им нечего скрывать
отказ_от_задания	восемнадцать «исполнено» за 11 лет		контракт срабатывает сам, приговора нет; гл.24
первая_запись_тетради	Кайр Норд, кофе три ложки на кружку		май; приписка «Помню. Проверено 10 жовтня»
ранг4_элизабет	четвёртый ранг		алхимия высшего уровня: превращение и создание вещества; двери; не боец
главком_рыцарей	Дориан Вэлк		под шестьдесят, седой, левая рука в перчатке; из низов, прямой
ведомство_порядка	Иветта Сарн		около сорока, в сером; дознание; знает дело Сильвии
хранитель_печати	Аурелиан Тесс		за семьдесят; артефакты и боги; честно говорит «не знаю»
наследница	Мирена Астэр		двадцать четыре; спрашивает то, что знает, ради ответа при свидетелях
столица_центра	Соулс		Верхний Соулс и Сердце Соулса под ним
меченых_на_операции	трое Эфира		включая Агнис, она младшая более чем вдвое
ранг4_лич	Могила		скелет в чёрной мантии, чёрная магия, ~1000 лет, флегматик, безупречно вежлив
ранг4_вампир	Кассандра		блондинка, красные глаза, статусная одежда, ~400 лет, холерик, всё надоело
чужое_имя	два слова, второе с шипением		не Мизу, не альбронд, не человек; Тень: строение титула, язык старше альвийского

глаза_агнис	жёлтые		у Элизабет зелёные; дома считалось, что «от отца» — деталь легенды, проверить не на ком (гл. 1)
шестой_день_нордов	снасть и пирог		отец Кайра каждый шестой день перебирает снасть, мать ставит пирог, приём с третьего колокола; гл. 1, 2, 3
столб_складского_двора	заложен в нише в конце зимы		Сильвия мерила от него первый лист; Хольм не поверил (гл. 1)
## --- ЧИСЛА И СРОКИ ---
срок_комы	двенадцать дней		Ханна, гл.6
ранг_сильвии	второй ранг	присвоен первый ранг|присвоен третий ранг	после аттестации, держится до книги 2
допуск_срок	шесть месяцев		ограниченный полевой допуск Арклайта, гл.4
знала_заранее	одиннадцать дней		Элизабет знала о нападении, гл.7
население_штаба	шесть тысяч		около 4200 в основной части
высота_свода	триста футов		
дорога_до_брода	семь часов		в одну сторону
цена_катаны	одиннадцать серебряных		гл.12
попыток_способности	сто двенадцать		к концу третьего месяца, гл.14

## --- КАЛЕНДАРЬ ---
# Месяц = три декады = 30 дней. Порядок: цветень, травень, червень, липень...
месяц_1	цветень		апрель
месяц_2	травень		май
месяц_3	червень		июнь
месяц_4	липень		июль — вводится в гл.14
месяц_5	серпень		август — вводится в гл.18
месяц_6	вересень		сентябрь — вводится в гл.23
месяц_7	жовтень		октябрь — вводится в гл.24
дата_нападения	14 цветня		абсолютный день 14

## --- МЕХАНИКА ---
метка_реагирует	на разогнанное намерение		не на пересечение границы
магия_чинит	поломку		не отсутствие; мышцу растит нагрузка
поглощение_берёт	вложенное усилие		не знания; знание приходит следствием
закрытая_часть	с третьего ранга		библиотека
столица_на_месте	альвийская столица и точка поражения Фортуны		дворец сожжён, Фортуна запечатана там же; храм Эфир стоит на этой точке
перехват_памяти	полный, от первого лица Фортуны		чужой рост и руки, откат с тряской; запускает место, не разговор
род_акацуки	Кайдо	 	воинский род дельты, дар — вода; два квартала в Саймэе
огонь_акацуки	чужая стихия в роду воды	 	проявился в семь лет; версия автора — скрытая метка Герры, не подтверждается в книге 1
архонт_востока	Лиан Сорэй	 	убит за декаду до совещания; убийца неизвестен, сделали внутри региона
силы_мизу	смещение, своя вода, ложный мир	 	три проявления одного: она решает, что где и что чем является; бьёт по площади, целится и промахивается
адаптация_души	практика + расширение + Тень берёт часть	 	с гл. 30 способность не валит; Тени от этого плохо, и она это скрывает
выживший_из_отряда	Акацуки		решение изменено в июле 2026; Рэйна гибнет в гл. 31, Акацуки переходит в книгу 2 изменившимся
снятое_не_исчезает	применяется на себя или удерживается запасом	 	Сильвия усиливается с каждым поглощением; обратно в магию не превращает
смерть_мизу	решает Элизабет	 	остальные десять были условием для её работы; облик богини — измученная женщина
кома_сильвии	два месяца после взятия	 	сознание внутри собственной души; часть Мизу ощущается островом; там впервые видит Тень
внутреннее_пространство	душа стала местом	 	основа, песок из мелочи, девять больших вещей, остров, одиннадцать чужих вещей у края
прижилось_от_мизу	двойник из воды, различение сделанного, соулс в водную магию	 	смещение и «своя вода» отторгнуты и лежат запасом; только вода, ни огня ни льда
почему_не_прижилось	душа человеческая + метка Смерти на Тени	 	от касания Тени остров сохнет и осыпается
видимость_тени	сохраняется после комы	 	видна, если закрыть глаза; со стороны выглядит как припадок
эи_у_элизабет	с первого восстания	 	отдаёт Сильвии в гл. 33; в клинке второй осколок Фортуны
война_арклайт_фениксы	спор о том, что случилось с богиней	 	обоз с ранеными на 19-й день; свободные задания сняты; Агнис молчит два месяца
приглашение_главы	письмо без подписи, четыре строки	 	«когда сможешь пройти четыреста шагов — приходи»; Кассандра и Могила его не видели
кома_срок	шестьдесят три дня	 	внутри больше двухсот кругов; точное соотношение не выводится
срок	лорд хаоса, принцип износа	 	молодой опрятный человек; при нём вещи стареют; титул «тот, при ком ветшает»
срок_и_мизу	Мизу согласилась	 	концепция износилась за тысячу лет; он предложил снять изношенное и не соврал; плата — снятое
срок_и_претендент	Срок исполнитель, претендент заказчик	 	претенденту место, Сроку содержимое; претендент рассеялся, Срок ушёл живым
святилища_альброндов	плата Сроку вперёд	репетиция	восемь альброндов открывали ему малые места; камень стареет на триста лет
срок_вычеркнут	обе стороны убрали его из отчётов	 	он подтвердил бы согласие богини; это ломает и обвинение Арклайта, и оправдание гильдии
восток_без_бога	место пустует	 	убыль воды ровнее, чем при ней; кто займёт — открытый вопрос книги 2
направление_агнис	алхимическое, второй курс		выпуск в обеспечение; практика в лаборатории при филиале
преподаватель_агнис	Хольцер		третий этаж, вредный; «у вас руки лучше головы»
напарница_агнис	Ольса		в одной паре на разборах, всё выходит с первого раза
мест_в_лаборатории	четыре на двадцать девять		распределение обязательное, через год
рыцарей_в_минте	один		Северин Райд; на город положен один
корпусов_арклайта	шесть		рыцарский, линейный, разведывательный, ведомство порядка, коллегия, обеспечение
город_тени	стена по гребню, две реки, белый мост		первое воспоминание Тени о своём мире, гл.6; она его уже искала и не нашла
целитель_свёл_рану	Дагоберт, первые сутки		свёл разрыв; Ханна ведёт всё, что после
коек_в_крыле	двенадцать		занято пять на момент гл.6
человек_в_штабе	около четырёхсот		плюс отделения ещё в семи местах
отец_сильвии	не существовал		легенда прикрытия Элизабет; сёстры не видели ни разу, личных воспоминаний нет
смерть_отца_легенда	двенадцать лет назад		Сильвии было девять, Агнис семь; «четвёртый не приходил» (гл.4)
родня_отца	дальняя, в Тальвере		переписка оборвалась с его «смертью»; проверить нельзя
рангов_в_гильдии	четыре		первый — полезен в одной области; второй — работает сам; третий в среднем на девятом году
жителей_под_сводом	четыре тысячи двести		в основной части; с прилегающими секциями около шести тысяч
высота_свода	около трёхсот футов		опоры по периметру и четыре внутренние
торговая_дорога	через Тальвер и южная		южная длиннее на восемь дней; Тальвер сейчас закрыт
бирке	чинит рыбацкую сеть		пришёл с побережья, просился на работу с водой, Лиран отказал четырежды
доля_без_отклика	один из двенадцати		среднее по Центру; в Авале один из тридцати, в Кальдере один из семи
ирсаль_родом	Аваль		ставил пробы в четырёх странах, два сезона по обмену в Кальдере
запрет_на_сравнение_богов	есть, штрафы и тюрьма		«отклика мало, значит Герра слабее Мизу» — за такое спрашивают, откуда сведения
содержание_учащегося_3курс	серебряный и восемь медных за декаду		казна Арклайта, гл.1; на 1 курсе серебряный и два
цена_туши_малая	серебряный		писчая лавка у ратуши, гл.1; большая — полтора серебряных
цена_листа_бумаги	два медных		лавка у ратуши, гл.1; казна даёт два листа в декаду
цена_ремня_форменного	серебряный с четвертью		гл.1
цена_свечей_связка	три медных		гл.1
цена_состава_глазного	восемь медных		лавка Элизабет, гл.1; Сильвия платит полную цену
выручка_элизабет_разовая	одиннадцать серебряных		приезжий перед Проводами льда, гл.1
цена_бочек_смолы	восемь серебряных		сведены у Хенрика; «две недели работы», гл.2
цена_светильника_с_печатью	восемь серебряных		окупается за три года, гл.25
сильвия_работа_у_хельги	полтора года, три года назад		нанялась носить подносы три года назад, проработала полтора; гл.1, гл.2
улица_бондарная	Бочарная	Бондарная	одна улица, не две; «бондарь» и «бочар» — одно ремесло
единица_времени	колокол, четверть колокола		в наррации Сильвии часов нет: минуты только в репликах и там, где она считала сама; §3.3
валюта_гильдии	печать	печатка|жетон|марка	металлический кружок в ноготь с квадратным отверстием, носят на шнуре; гл.8, гл.10
оплата_заданий	двойная: монета и печати	только монета	пропорция указана в листе; работа для гильдии — больше печатей, для внешнего заказчика — больше монеты; гл.10
бюро_заданий	здание в три этажа у восточной арки, без вывески	доска объявлений	зал со стойкой поперёк, девять стен деревянных ячеек по разрядам и рангам; гл.8, гл.10
разряды_бюро	стены 1-3 любой ранг, 4-5 наблюдение/сопровождение/поиск	доска с гвоздиками	стена 1 — подённая работа за медь и одну-две печати; гл.10
цена_декады_у_оружейника	сорок печатей		берёт троих в год; гл.10
на_что_печати	время мастера, целительство сверх положенного, комната в учебной части, закрытая часть библиотеки, ходатайство о переводе, право взять заказ выше ранга		«то, что не продаётся за золото»; отрицательное решение печатей не возвращает; гл.8, гл.10
учебная_часть	северная улица, двери с номерами на жести, без имён	школа|академия	комнаты бронируют за печати на декаду вперёд; кто угодно с рангом объявляет, чему учит; гл.8
лечебная_часть	длинное здание без окон, серая полоса над входом	лазарет	крыло принимает тех, кого принесли; лечебная часть — тех, кто пришёл сам; гл.8
положенное_лечение	бесплатно то, в каком виде нельзя оставить; сверх — за печати		решает целитель; Ханна считает, что нельзя оставить почти ничего; гл.8
оплата_первого_задания	два серебряных и четыре печати		в листе стояло «до шести»: ответ из конторы не дали; гл.10
прошение_допуск	25 печатей за рассмотрение		разовый допуск в закрытую часть библиотеки; при отказе не возвращают; рассматривают декаду; гл.14
серая_полоса	метка закрытого хранения		на корешках списанных книг и над входом в лечебную часть; гл.12, гл.14
списанные_книги	6-30 печатей, дальний ряд		три причины списания: ветхая, есть дубль, написано неправильно; продавец не читает; гл.14
снабжение_выхода	22 дня еды на 40 дней		дальше кормят по бумаге гильдии через 3-4 дня пути, счёт приходит в гильдию; гл.14
ольгер_норма	норма считана на среднего		приходить заранее и говорить, чем отличаешься; 4 пары обуви на 10 человек; гл.14
карта_двухсотлетняя	две реки, значок перечёркнут		город Тени; Тень: угол острее, мост ниже развилки; гл.14
мерная_рамка	деревянная в железной обойме, две ладони		вкладывают предмет, по краю идёт полоска света; показывает плотность вещи для силы, не количество; гл.13
рамка_цена	новая 8 серебряных, ходившая 2-4		столько же, сколько светильник с печатью; гл.13
рамка_врёт	за 10 лет на четверть, всегда в бОльшую сторону		состав в жёлобе садится; направление ошибки постоянно; гл.13
рамки_сверка	три из четырёх против одной		где рамка одна — верят ей; гл.13
мерная_палата	Тальвер, клеймит рамки, весы и всё, чем меряют		без клейма прибор в казённой бумаге не считается; клеймит не бесплатно; гл.13
клеймо_тальвера	три полоски и точка, год рядом мелко		клеймо действует 8 лет; год не читается — прибор непроверенный; гл.13
клеймо_подлог	палата лишает ремесла по всему свету		мастер срубает клеймо с плохой рамки, а не перебивает; гл.13
установления_о_мерах	книга в открытой части библиотеки		договор четырёх, Тальвер главный; палата вправе истребовать прибор через посредника; гл.13
торг_с_выкриком	нижний ярус восточного крыла, 3-й день декады		продают лотами, а не вещами; списанное со складов и неделёное с выходов; гл.13
северная_12	мастерская ремонта мерного и светового		приём с третьего колокола; 2 печати за четверть часа расспросов; гл.13
оборот_листа	строка приёма: кто принёс, когда, сколько внёс		серый шершавый оборот, его никто не переворачивает; гл.13
книга_подателей	все листы одного подателя		со 2-го ранга не смотрят, с 3-го по письменному; гл.13
лежалый_лист	монета та же, печати растут		40 дней лежания = 5 печатей сверху; гл.13
приходская_книга	наём, долги, отъезды, возврат отдельной строкой		посад, при церкви в верхнем конце, ведёт причетник; гл.13
дельвин	держал в посаде контору по свету, съехал осенью		объявление на казённой доске не сняли; письмо в травене — просит работы; гл.13
гуннар	ведёт счёт при красильне, лет 50		12 светильников в сушильне, 4 в конторе; 11 серебряных в год на всю контору; гл.13
проверяющий_свет	раз в полгода, бумага на каждый светильник		без рамки сушильня встаёт на две декады; гл.13
завалинка	собака лает на идущих улицей, молчит на идущих завалинкой		по завалинке ходят свои; гл.13
тренировочные_залы	четыре: новички, столбы, пара, закрытый		Сильвия ходит во второй; гл.13
учебная часть	восточное крыло, второй ярус; коридор с дверями, у каждой грифельная доска: что идёт и до какого числа	ch-14
запись на курс	две книги у распорядительницы: расписание и список записавшихся; второй толще	ch-14
курсы гильдии	Счёт и мера (1 разряд); Языки Востока (начальный); Обиход раненого в поле (2–3 ранг, 3 занятия); Опознание следа; Право найма и подряда (с 3-го)	ch-14
цена курса	Обиход раненого — 6 печатей или 15 медных; печатями дешевле на треть	ch-14
печать не выносится	тратится только внутри гильдии: учение и торг; медные носят наружу	ch-14
курс об устройстве души	«Устройство души, обзорно. Для допущенных»; читал Дагоберт, перестал позапрошлой зимой; причина в книге не записана	ch-14
чему учат о теле	кровь, дыхание, тепло, зрачок; дальше зрачка ничего; про душу на занятиях не говорят	ch-14
третий лист палаты	19 липня, тот же предмет и посад, оплата вдвое; частное лицо из Тальвера по доверенности палаты на месяц (до 19 серпня)	ch-14
первый лист палаты	травень, до Сильвии; взят человеком, не исполнен, снят по сроку декады	ch-14
строка в другой книге	Лиран вписал после рассказа Сильвии; прочитают не раньше осени	ch-14
баланс печатей Сильвии	15 к 12-му дню липня; прошение в закрытую часть стоит 25	ch-14
алхимический ряд	нижний ярус, противоположный конец от торга, работает всегда; шесть столов, первые четыре — товар для зала	ch-15
состав усыпляющий	4 печати склянка, хватает на 6–7 человек по мерке; мерка на пробке на 70 фунтов	ch-15
запреты по составу	не давать при одышке; при сухом кашле с остановками на ходу; пьяному (уже наполовину принял)	ch-15
почему одышка опасна	состав кладёт дыхание; у здорового выправляется, у сердечника остаётся внизу	ch-15
книга продавца	алхимик записывает покупателя и количество, берёт роспись — чтобы осталось, что предупреждала	ch-15
Мерген	алхимик в конце ряда, не спрашивает вес, разбавляет вдвое	ch-15
прошение о допуске	нужна подпись распорядителя, ведущего назначения; без подписи не принимают; печати вносятся при подаче	ch-15
снаряжение на 40 дней	22 дня еды (дальше кормят по бумаге гильдии через каждые 3–4 дня пути); 4 пары обуви на 10 человек	ch-15
бумага гильдии на прокорм	обязательство: счёт приходит в гильдию, едоку не приходит ничего	ch-15
норма снаряжения	считана на среднего человека, которого нет; приходить заранее и говорить, чем отличаешься	ch-15
мешок новичка	новые мешки отдают на первые выходы: новичок дорожит и не бросает	ch-15
Бирке	второй ранг, четвёртый год в гильдии, садится спиной к стене; ловит на чтении ключиц ложным движением	ch-15
свободный заказ на сутки	лежит в нижних рядах ячеек, висит долго; подателя в шапке может не быть; цена в шесть медных значит, что охрана груза не оплачена	ch-16
выходные двери	более сорока, нумеруются с конца; седьмая от конца — ближе всего к посаду за мельницей	ch-16
пост у выходной двери	записывает час выхода и час возврата, берёт роспись; час называет выходящий; просрочка 6 часов — рапорт распорядителю, сутки — выше	ch-16
светильник над седьмой дверью	не горит с первого дня Сильвии в гильдии; все проходят под ним пригнувшись, хотя пригибаться незачем	ch-16
Мабрик о руках	«первые двадцать лет руки делают, что скажут; потом начинают выбирать, и список короче»	ch-16
Вальд	сторож при складах в посаде за мельницей, около шестидесяти, больное колено, сухой кашель с остановками, шорник восемь лет; умер от состава при весе меньше расчётного	ch-16
состав Тавии/пятого стола	мерка на пробке рассчитана на 70 фунтов; три запрета: одышка, сухой кашель с остановками, пьяный; «состав кладёт дыхание»	ch-15,ch-16
способность Сильвии (второй уровень)	при касании умирающего переходят телесные умения; включается сама, когда POV не думает о ней; в Тень уходит то же самое	ch-16
наблюдение за складом	девять часов; три проверки на собаку; вывод сделан по дневным данным и перенесён на ночь	ch-16,ch-17
учётная часть	второй ярус, ход из-под лестницы; шкафы с ящиками по двум буквам и числу; рабочая кошка при бумаге	ch-17
распоряжение по имуществу	подаётся до выхода; опись вещей + графа получателя; казённое не вписывают; пересылка вне гильдии за счёт имущества, извещение платное	ch-17
пустая графа получателя	имущество отходит гильдии: оружие в кладовую, одежда в раздачу или на ветошь, прочее на торг третьего дня; выручка в общий счёт	ch-17
общий счёт гильдии	из него платят за тех, кого хоронят, и за тех, кого ищут	ch-17
писаное имущество	тетради и письма не продают — сжигают при двоих: один жжёт, второй перелистывает (ищут заложенные деньги и опасные бумаги)	ch-17
предвыходной осмотр	обязателен перед длинным выходом; «не годна» пишут при жаре, незажившем шве, потере сознания, отказе конечности; всё прочее — «годна»	ch-17
